Ticket Number,Category,Issue Description,Priority,Status,Department,Assigned To,Date Created,Date Updated,Resolution,Notes,Attachments
TKT8104,Equipment Malfunction,Issue with Engine Lathe during inspection process causing delays in production line operations.,High,Closed,Maintenance,Bob Lee,2024-01-17 17:09,2024-01-19 17:09,Replaced upgraded software. Equipment now issue resolved.,,
TKT7847,Equipment Malfunction,Issue with Hydraulic Press during packaging process causing delays in production line operations.,Medium,In Progress,Safety,Carol Taylor,2024-04-08 17:09,2024-04-13 17:09,,Follow up required,Image of affected part
TKT2361,Equipment Malfunction,Issue with Engine Lathe during packaging process causing delays in production line operations.,High,In Progress,Maintenance,Sara Moore,2024-03-12 17:09,2024-03-15 17:09,,Follow up required,
TKT1904,Equipment Malfunction,Issue with Engine Lathe during machining process causing delays in production line operations.,High,Open,Maintenance,Carol Taylor,2024-03-22 17:09,2024-03-22 17:09,,,
TKT8690,Equipment Malfunction,Issue with Welding Equipment during packaging process causing delays in production line operations.,Low,Closed,Quality Control,Carol Taylor,2024-02-08 17:09,2024-02-11 17:09,Installed hydraulic arm. Equipment now fully operational.,,
TKT8288,Equipment Malfunction,Issue with Hydraulic Press during machining process causing delays in production line operations.,High,Closed,Quality Control,Carol Taylor,2024-04-05 17:09,2024-04-07 17:09,Installed hydraulic arm. Equipment now requires further testing.,,Image of affected part
TKT1319,Equipment Malfunction,Issue with Hydraulic Press during testing process causing delays in production line operations.,Low,In Progress,Maintenance,John Smith,2024-02-07 17:09,2024-02-09 17:09,,Follow up required,Image of affected part
TKT3204,Equipment Malfunction,Issue with Hydraulic Press during assembly process causing delays in production line operations.,High,Closed,Quality Control,Laura Wilson,2024-03-12 17:09,2024-03-16 17:09,Repaired replacement motor. Equipment now performance improved.,,
TKT8134,Equipment Malfunction,Issue with Welding Equipment during testing process causing delays in production line operations.,Low,Closed,Safety,Laura Wilson,2024-03-12 17:09,2024-03-15 17:09,Updated hydraulic arm. Equipment now under observation.,,
TKT1812,Equipment Malfunction,Issue with CNC Router during inspection process causing delays in production line operations.,Low,In Progress,Maintenance,Alice Johnson,2024-01-31 17:09,2024-02-03 17:09,,Follow up required,
TKT6725,Equipment Malfunction,Issue with Engine Lathe during machining process causing delays in production line operations.,High,Open,Maintenance,Carol Taylor,2024-03-27 17:09,2024-03-27 17:09,,,
TKT7112,Equipment Malfunction,Issue with CNC Router during assembly process causing delays in production line operations.,High,Open,Maintenance,Jane Doe,2024-02-12 17:09,2024-02-12 17:09,,,
TKT1112,Equipment Malfunction,Issue with Hydraulic Press during testing process causing delays in production line operations.,High,Open,Safety,Tom Clark,2024-01-25 17:09,2024-01-25 17:09,,,Image of affected part
TKT7121,Equipment Malfunction,Issue with Hydraulic Press during inspection process causing delays in production line operations.,Low,In Progress,Safety,Jack Davis,2024-02-12 17:09,2024-02-16 17:09,,Follow up required,Image of affected part
TKT7976,Equipment Malfunction,Issue with Engine Lathe during testing process causing delays in production line operations.,High,Open,Safety,Tom Clark,2024-02-07 17:09,2024-02-07 17:09,,,Image of affected part
TKT9633,Equipment Malfunction,Issue with CNC Router during machining process causing delays in production line operations.,High,In Progress,Quality Control,Alice Johnson,2024-03-18 17:09,2024-03-18 17:09,,Follow up required,
TKT3365,Equipment Malfunction,Issue with Welding Equipment during machining process causing delays in production line operations.,High,In Progress,Maintenance,Laura Wilson,2024-03-12 17:09,2024-03-17 17:09,,Follow up required,
TKT5564,Equipment Malfunction,Issue with Milling Machine during packaging process causing delays in production line operations.,High,Closed,Quality Control,John Smith,2024-03-08 17:09,2024-03-08 17:09,Installed hydraulic arm. Equipment now issue resolved.,,Image of affected part
TKT2428,Equipment Malfunction,Issue with Welding Equipment during testing process causing delays in production line operations.,Medium,Closed,Safety,Sara Moore,2024-03-29 17:09,2024-03-31 17:09,Repaired replacement motor. Equipment now issue resolved.,,
TKT6994,Equipment Malfunction,Issue with Hydraulic Press during testing process causing delays in production line operations.,High,In Progress,Quality Control,Carol Taylor,2024-02-06 17:09,2024-02-08 17:09,,Follow up required,Image of affected part
TKT9449,Equipment Malfunction,Issue with Milling Machine during packaging process causing delays in production line operations.,Low,In Progress,Safety,Mike Brown,2024-01-21 17:09,2024-01-25 17:09,,Follow up required,Image of affected part
TKT3016,Equipment Malfunction,Issue with Milling Machine during assembly process causing delays in production line operations.,High,In Progress,Quality Control,Alice Johnson,2024-01-25 17:09,2024-01-27 17:09,,Follow up required,Image of affected part
TKT6842,Equipment Malfunction,Issue with Milling Machine during testing process causing delays in production line operations.,Low,In Progress,Safety,Alice Johnson,2024-01-25 17:09,2024-01-26 17:09,,Follow up required,Image of affected part
TKT2893,Equipment Malfunction,Issue with Welding Equipment during testing process causing delays in production line operations.,Medium,Closed,Quality Control,John Smith,2024-02-04 17:09,2024-02-06 17:09,Calibrated upgraded software. Equipment now under observation.,,
TKT8296,Equipment Malfunction,Issue with Engine Lathe during testing process causing delays in production line operations.,High,Open,Safety,Jane Doe,2024-01-16 17:09,2024-01-16 17:09,,,
TKT6662,Equipment Malfunction,Issue with Engine Lathe during assembly process causing delays in production line operations.,Low,Closed,Quality Control,Jack Davis,2024-01-25 17:09,2024-01-28 17:09,Calibrated new spindle. Equipment now issue resolved.,,
TKT8573,Equipment Malfunction,Issue with Welding Equipment during testing process causing delays in production line operations.,Low,Closed,Quality Control,Tom Clark,2024-04-03 17:09,2024-04-04 17:09,Installed hydraulic arm. Equipment now requires further testing.,,
TKT9856,Equipment Malfunction,Issue with Engine Lathe during machining process causing delays in production line operations.,Medium,Open,Maintenance,Laura Wilson,2024-01-31 17:09,2024-01-31 17:09,,,
TKT7394,Equipment Malfunction,Issue with Welding Equipment during inspection process causing delays in production line operations.,Medium,Open,Safety,Jack Davis,2024-01-28 17:09,2024-01-28 17:09,,,Image of affected part
TKT2281,Equipment Malfunction,Issue with Milling Machine during testing process causing delays in production line operations.,High,Closed,Safety,Carol Taylor,2024-01-23 17:09,2024-01-27 17:09,Calibrated replacement motor. Equipment now requires further testing.,,Image of affected part
TKT2528,Equipment Malfunction,Issue with Hydraulic Press during packaging process causing delays in production line operations.,High,Open,Maintenance,Jack Davis,2024-02-18 17:09,2024-02-18 17:09,,,Image of affected part
TKT9007,Equipment Malfunction,Issue with Welding Equipment during inspection process causing delays in production line operations.,Low,Open,Safety,Jane Doe,2024-02-09 17:09,2024-02-09 17:09,,,Image of affected part
TKT5896,Equipment Malfunction,Issue with CNC Router during inspection process causing delays in production line operations.,High,In Progress,Safety,Jack Davis,2024-04-06 17:09,2024-04-10 17:09,,Follow up required,Image of affected part
TKT9941,Equipment Malfunction,Issue with Welding Equipment during machining process causing delays in production line operations.,Medium,Closed,Safety,Bob Lee,2024-01-14 17:09,2024-01-15 17:09,Installed upgraded software. Equipment now under observation.,,
TKT4427,Equipment Malfunction,Issue with Welding Equipment during inspection process causing delays in production line operations.,Medium,In Progress,Quality Control,Carol Taylor,2024-03-24 17:09,2024-03-25 17:09,,Follow up required,
TKT4357,Equipment Malfunction,Issue with CNC Router during machining process causing delays in production line operations.,High,Open,Quality Control,Mike Brown,2024-01-26 17:09,2024-01-26 17:09,,,
TKT2784,Equipment Malfunction,Issue with Engine Lathe during testing process causing delays in production line operations.,Medium,In Progress,Quality Control,Bob Lee,2024-03-06 17:09,2024-03-09 17:09,,Follow up required,
TKT5722,Equipment Malfunction,Issue with CNC Router during machining process causing delays in production line operations.,Low,In Progress,Maintenance,Carol Taylor,2024-01-27 17:09,2024-01-28 17:09,,Follow up required,
